ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S1390-86182025000100029-ecu","Factores que influyen en la adopción del análisis de Big Data por los auditores: un estudio mixto","Abu Al Rob, Moath Abdelkarim, Mohd Nor, Mohd Nazli, Salleh, Zalailah, Khalaf, Alia Majed","RETOS. Revista de Ciencias de la Administración y Economía; 15(29); 29-46","RETOS. Revista de Ciencias de la Administración y Economía","Espanhol","2025","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-86182025000100029&lang=pt" 
"preprint_12199","The Digital Pandora’s Box: Bioethical Considerations in the Era of Big Data in Health","Chaux, Alcides","; (); -","","Espanhol","2025","/scielo.php?script=sci_arttext&pid=https://preprints.scielo.org/index.php/scielo/preprint/view/12199&lang=pt" 
"S0256-95742025000600006-sza","Data privacy and protection in AI-driven healthcare","Mahomed, S","SAMJ: South African Medical Journal; 115(5b); 70-74","SAMJ: South African Medical Journal","Inglês","2025","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742025000600006&lang=pt" 
"S2306-24952025000200072-cub","Inteligencia Empresarial (BI) como elemento esencial en las organizaciones: una revisión sistemática","Farfán Muñoz, Ivar Rodrigo","Serie Científica de la Universidad de las Ciencias Informáticas; 18(2); 72-93","Serie Científica de la Universidad de las Ciencias Informáticas","Espanhol","2025","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2306-24952025000200072&lang=pt" 
"S2301-13782025000101206-ury","Big data, dementia prediction and knowledge organization","Grant, D.","Informatio; 30(1); -","Informatio","Inglês","2025","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2301-13782025000101206&lang=pt" 
"S2393-67972025000104501-ury","Big Data y Trastornos del Sueño. Aspectos de interés en tiempos de modernidad tecnológica","Zayas Fundora, Emmanuel, Araujo Inastrilla, Carlos Rafael","Revista Uruguaya de Medicina Interna; 10(); -","Revista Uruguaya de Medicina Interna","Espanhol","2025","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2393-67972025000104501&lang=pt" 
"S1983-71512025000100204-scl","ALIMENTOS ORGÂNICOS NA PERSPECTIVA DESCOLONIAL: ESTUDO EM REGIÃO TURÍSTICA NO SUL DO BRASIL","Gastal, Susana de Araújo, Beber, Ana Maria Costa, Paludo, Laura B.","Turismo: Visão e Ação; 27(); -","Turismo: Visão e Ação","Português","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-71512025000100204&lang=pt" 
"S0034-75902025000100204-scl","BIG DATA ANALYTICS-ARTIFICIAL INTELLIGENCE, AMBIDEXTERITY, AND GREEN SUPPLY CHAIN MANAGEMENT: IMPLICATIONS ON RESPONSIBLE ECONOMY","Wang, Shanshan, Jia, Chenge, Khan, Asif, Khan, Naila Habib, Hsieh, Chia-Hung, Hung, Chung-Wen, Chen, Shih-Chih","Revista de Administração de Empresas; 65(1); -","Revista de Administração de Empresas","Português, Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902025000100204&lang=pt" 
"S0101-32622025000100307-scl","AVANÇO DO CAPITAL NA POLÍTICA EDUCACIONAL DA BAHIA: PARCERIAS COM EDTECHS","Peixoto, Elza Margarida de Mendonça, Lopes, Vânia Pereira Moraes, Santos, Patrícia Menezes dos","Cadernos CEDES; 45(); -","Cadernos CEDES","Português","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622025000100307&lang=pt" 
"S0104-42302025000200600-scl","Temporal trend in venous thromboembolism hospitalization rates in Brazil","Soares Oliveira Portela, Felipe, Wolosker, Nelson, Louzada, Andressa Cristina Sposato, Portugal, Maria Fernanda Cassino, Fiorelli Alexandrino da Silva, Marcelo, Lopes Cintra, Diogo, Girardi, Giulia de Payrebrune St Sève Marins, Fioranelli, Alexandre, Teivelis, Marcelo Passos","Revista da Associação Médica Brasileira; 71(2); -","Revista da Associação Médica Brasileira","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302025000200600&lang=pt" 
"S0103-40142025000100801-scl","Do jornalismo transnacional aos experimentos em blockchain no combate à desinformação","Prado, Magaly, Demeneck, Ben Hur","Estudos Avançados; 39(113); -","Estudos Avançados","Português","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142025000100801&lang=pt" 
"S0034-75902025000100202-scl","URBAN VILLAGES REDEVELOPMENT AND COOPERATIVE GOVERNANCE OF THE FLOATING POPULATION HOUSING ISSUE: EVIDENCE FROM BIG CHINESE CITIES","Jin, Xizan, Chen, Lili, Zhou, Jiale, Zhou, Qinlong, Wang, Song","Revista de Administração de Empresas; 65(1); -","Revista de Administração de Empresas","Português, Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902025000100202&lang=pt" 
"S1808-23862025000100219-scl","Big Data and IT Technologies: Bridging Accounting Information Systems and Administrative Decision-Making","Al-Karawi, Ali Mohammed Yousef, Saeed, Hiba Mahmood Mohammed, Fadel, Mustafa Abbas","BBR. Brazilian Business Review; 22(); -","BBR. Brazilian Business Review","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-23862025000100219&lang=pt" 
"S1729-80912025000100013-cub","Revisión de las contribuciones teóricas y empíricas sobre inteligencia empresarial para su uso docente","Farfán Muñoz, Ivar Rodrigo","EduSol; 25(); -","EduSol","Espanhol","2025","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1729-80912025000100013&lang=pt" 
"S1806-66902025000100664-scl","Rice disease and pest identification integrating albert pre-trained language model and improved BILSTM","Dong, Zhigui, Yang, Tianyi, Wang, Yanchao","Revista Ciência Agronômica; 56(); -","Revista Ciência Agronômica","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-66902025000100664&lang=pt" 
"S1808-52452025000100312-scl","Intersections between Information Science and Big Data","Perozo-Vasquez, Joel, Depizzolatti, Ana, Werlang, Nathália Berger","Em Questão; 31(); -","Em Questão","Inglês","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-52452025000100312&lang=pt" 
