DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.ijpe.2014.12.031,,,How 'big data' can make big impact: findings from a systematic review and a longitudinal case study,,"Samuel Fosso Wamba,Samuel Fosso Wamba,Shahriar Akter,Shahriar Akter,Andrew Edwards,Andrew Edwards,Geoffrey Chopin,Geoffrey Chopin,Denis Gnanzou,Denis Gnanzou",International Journal of Production Economics,2015
10.1016/j.ins.2014.01.015,,,"Data-intensive applications, challenges, techniques and technologies: A survey on Big Data",,"C. L. Philip Chen,C. L. Philip Chen,Chunyang Zhang,Chun-Yang Zhang",Information Sciences,2014
10.1016/j.ijpe.2014.04.018,,,"Data quality for data science, predictive analytics, and big data in supply chain management: An introduction to the problem and suggestions for research and applications","Today׳s supply chain professionals are inundated with data, motivating new ways of thinking about how data are produced, organized, and analyzed. This has provided an impetus for organizations to adopt and perfect data analytic functions (e.g. data science, predictive analytics, and big data) in order to enhance supply chain processes and, ultimately, performance. However, management decisions informed by the use of these data analytic methods are only as good as the data on which they are based. In this paper, we introduce the data quality problem in the context of supply chain management (SCM) and propose methods for monitoring and controlling data quality. In addition to advocating for the importance of addressing data quality in supply chain research and practice, we also highlight interdisciplinary research topics based on complementary theory.","Benjamin T. Hazen,Benjamin T. Hazen,Christopher A. Boone,Christopher A. Boone,Jeremy D. Ezell,Jeremy D. Ezell,L. Allison Jones‐Farmer,L. Allison Jones-Farmer",International Journal of Production Economics,2014
10.1016/j.ijpe.2016.08.018,,,How to improve firm performance using big data analytics capability and business strategy alignment,"The recent interest in big data has led many companies to develop big data analytics capability (BDAC) in order to enhance firm performance (FPER). However, BDAC pays off for some companies but not for others. It appears that very few have achieved a big impact through big data. To address this challenge, this study proposes a BDAC model drawing on the resource-based theory (RBT) and the entanglement view of sociomaterialism. The findings show BDAC as a hierarchical model, which consists of three primary dimensions (i.e., management, technology, and talent capability) and 11 subdimensions (i.e., planning, investment, coordination, control, connectivity, compatibility, modularity, technology management knowledge, technical knowledge, business knowledge and relational knowledge). The findings from two Delphi studies and 152 online surveys of business analysts in the U.S. confirm the value of the entanglement conceptualization of the higher-order BDAC model and its impact on FPER. The results also illuminate the significant moderating impact of analytics capability–business strategy alignment on the BDAC–FPER relationship.","Shahriar Akter,Shahriar Akter,Samuel Fosso Wamba,Samuel Fosso Wamba,Angappa Gunasekaran,Angappa Gunasekaran,Rameshwar Dubey,Rameshwar Dubey,Stephen J. Childe,Stephen J. Childe",International Journal of Production Economics,2016
10.1007/s11036-013-0489-0,,,Big Data: A Survey,"In this paper, we review the background and state-of-the-art of big data. We first introduce the general background of big data and review related technologies, such as could computing, Internet of Things, data centers, and Hadoop. We then focus on the four phases of the value chain of big data, i.e., data generation, data acquisition, data storage, and data analysis. For each phase, we introduce the general background, discuss the technical challenges, and review the latest advances. We finally examine the several representative applications of big data, including enterprise management, Internet of Things, online social networks, medial applications, collective intelligence, and smart grid. These discussions aim to provide a comprehensive overview and big-picture to readers of this exciting area. This survey is concluded with a discussion of open problems and future directions.","Min Chen,Min Chen,Shiwen Mao,Shiwen Mao,Yunhao Liu,Yunhao Liu",Mobile Networks and Applications,2014
10.1016/j.ijpe.2016.03.014,,,Big data analytics in logistics and supply chain management: Certain investigations for research and applications,"The amount of data produced and communicated over the Internet is significantly increasing, thereby creating challenges for the organizations that would like to reap the benefits from analyzing this massive influx of big data. This is because big data can provide unique insights into, inter alia, market trends, customer buying patterns, and maintenance cycles, as well as into ways of lowering costs and enabling more targeted business decisions. Realizing the importance of big data business analytics (BDBA), we review and classify the literature on the application of BDBA on logistics and supply chain management (LSCM) – that we define as supply chain analytics (SCA), based on the nature of analytics (descriptive, predictive, prescriptive) and the focus of the LSCM (strategy and operations). To assess the extent to which SCA is applied within LSCM, we propose a maturity framework of SCA, based on four capability levels, that is, functional, process-based, collaborative, agile SCA, and sustainable SCA. We highlight the role of SCA in LSCM and denote the use of methodologies and techniques to collect, disseminate, analyze, and use big data driven information. Furthermore, we stress the need for managers to understand BDBA and SCA as strategic assets that should be integrated across business activities to enable integrated enterprise business analytics. Finally, we outline the limitations of our study and future research directions.","Gang Wang,Gang Wang,Gang Wang,Angappa Gunasekaran,Angappa Gunasekaran,Eric W.T. Ngai,Eric W.T. Ngai,Θάνος Παπαδόπουλος,Thanos Papadopoulos",International Journal of Production Economics,2016
,,,beyond the hype,"We define what is meant by big data.We review analytics techniques for text, audio, video, and social media data.We make the case for new statistical techniques for big data.We highlight the expect...","GandomiAmir,HaiderMurtaza",International Journal of Information Management,2015
10.1016/j.ijinfomgt.2014.02.002,,,"Data quality management, data usage experience and acquisition intention of big data analytics",,"Ohbyung Kwon,Ohbyung Kwon,Nam Yeon Lee,Nam Yeon Lee,Bongsik Shin,Bongsik Shin",International Journal of Information Management,2014
10.1016/j.ijpe.2014.12.031,,,How ‘Big Data’ Can Make Big Impact: Findings from a Systematic Review and a Longitudinal Case Study,"Big data has the potential to revolutionize the art of management. Despite the high operational and strategic impacts, there is a paucity of empirical research to assess the business value of big data. Drawing on a systematic review and case study findings, this paper presents an interpretive framework that analyzes the definitional perspectives and the applications of big data. The paper also provides a general taxonomy that helps broaden the understanding of big data and its role in capturing business value. The synthesis of the diverse concepts within the literature on big data provides deeper insights into achieving value through big data strategy and implementation.","Samuel Fosso Wamba,Samuel Fosso Wamba,Shahriar Akter,Shahriar Akter,Andrew D Edwards,Andrew Edwards,Geoffrey Chopin,Geoffrey Chopin,Denis Gnanzou,Denis Gnanzou",International Journal of Production Economics,2015
10.1016/j.is.2014.07.006,,,The rise of big data on cloud computing,,"Mohamed Hashem,Ibrahim Abaker Targio Hashem,Ibrar Yaqoob,Ibrar Yaqoob,Ibrar Yaqoob,Nor Badrul Anuar,Nor Badrul Anuar,Salimah Binti Mokhtar,Salimah Binti Mokhtar,Abdullah Gani,Abdullah Gani,Samee U. Khan,Samee U. Khan",Information Systems,2015
