Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Big data and firm greenwashing: evidence from China’s national big data comprehensive pilot zone,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05107-0,Jianjun SunNannan ZuChao Zhang,2025,https://link.springer.com/article/10.1057/s41599-025-05107-0,Article
The financial and market impact of big data analytics and big data talent analytics capability: a knowledge management perspective,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-05206-y,Fouzia AtlasYuan YitongKashif Ullah Khan,2025,https://link.springer.com/article/10.1057/s41599-025-05206-y,Article
A Model of Big Data-Based Governance: China’s National Government Big Data Platform and an Analysis of Its Governance Competence,Chinese Political Science Review,,,,10.1007/s41111-025-00279-1,Xi Lin,2025,https://link.springer.com/article/10.1007/s41111-025-00279-1,Article
HRM Effectiveness as an Outcome of Big Data: The Role of Big Data–Driven HR Practices and Electronic HRM,Journal of the Knowledge Economy,,,,10.1007/s13132-024-02216-0,Arab ul MateenQasim Ali NisarSamia JamshedSumaira RehmanMuhammad Ali,2024,https://link.springer.com/article/10.1007/s13132-024-02216-0,Article
Big-MDC: A Multi-Dimensions Cleaning Framework to Improve Big Data Quality,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00804-0,Nibel NadjehSabrina AbdellaouiFahima Nader,2025,https://link.springer.com/article/10.1007/s41060-025-00804-0,Article
"Big data analytics in healthcare: data sources, tools, challenges, and opportunities",Journal of Electrical Systems and Information Technology,,,,10.1186/s43067-024-00190-w,Mohammed BadawyNagy RamadanHesham Ahmed Hefny,2024,https://link.springer.com/article/10.1186/s43067-024-00190-w,Article
Big Data,Das Öffentliche und das Private,,,,10.1007/978-3-658-45294-0_8,Wolfgang Osterhage,2025,https://link.springer.com/chapter/10.1007/978-3-658-45294-0_8,Chapter
Big Data – BigData 2024,Lecture Notes in Computer Science,,,,10.1007/978-3-031-77088-3,Yong ZhangTing CaiLiang-Jie Zhang,2024,https://link.springer.com/book/10.1007/978-3-031-77088-3,Conference proceedings
"Big data applications: overview, challenges and future",Artificial Intelligence Review,,,,10.1007/s10462-024-10938-5,Afzal BadshahAli DaudRiad AlharbeyAmeen BanjarAmal BukhariBader Alshemaimri,2024,https://link.springer.com/article/10.1007/s10462-024-10938-5,Article
Modelling big data platforms as knowledge graphs: the data platform shaper,Journal of Big Data,,,,10.1186/s40537-025-01094-w,David GrecoFrancesco OsborneSimone PuscedduDiego Reforgiato Recupero,2025,https://link.springer.com/article/10.1186/s40537-025-01094-w,Article
"Big data transfer service architecture for cloud data centers: problems, methods, applications, and future trends",Discover Computing,,,,10.1007/s10791-025-09682-3,Muhammad Umar MajigiIsmaila IdrisShafi’i Muhammad AbdulhamidRichard A. Ikuesan,2025,https://link.springer.com/article/10.1007/s10791-025-09682-3,Article
Big Data Analytics,,,,,10.1007/978-3-031-55639-5,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/book/10.1007/978-3-031-55639-5,Book
Novices’ reasoning with big data and data-ing through the lens of uncertainty,ZDM – Mathematics Education,,,,10.1007/s11858-024-01646-z,Ronit GafnyMichal DvirDani Ben-Zvi,2024,https://link.springer.com/article/10.1007/s11858-024-01646-z,Article
Assessing the Security of Big Data Systems,Automatic Control and Computer Sciences,,,,10.3103/S0146411624701025,M. A. PoltavtsevaV. V. ZaitsevaD. V. Ivanov,2024,https://link.springer.com/article/10.3103/S0146411624701025,Article
Big Data in Higher Education: Bibliometric Analysis,TechTrends,,,,10.1007/s11528-024-01006-4,Ali Kürşat ErümitHasan Yiğit CebeciSefa Özmen,2024,https://link.springer.com/article/10.1007/s11528-024-01006-4,Article
Big Data Analytics,Integrierte Business-Informationssysteme,,,,10.1007/978-3-662-71017-3_7,Klaus-Dieter Gronwald,2025,https://link.springer.com/chapter/10.1007/978-3-662-71017-3_7,Chapter
Access Control Analysis in Heterogeneous Big Data Management Systems,Programming and Computer Software,,,,10.1134/S0361768824700269,M. A. PoltavtsevaM. O. Kalinin,2024,https://link.springer.com/article/10.1134/S0361768824700269,Article
Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-96-1024-2,Wenwu ZhuHui XiongXiuzhen ChengLizhen CuiZhicheng DouJunyu DongShanchen PangLi WangLanju KongZhenxiang Chen,2025,https://link.springer.com/book/10.1007/978-981-96-1024-2,Conference proceedings
Edge computing in big data: challenges and benefits,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00855-3,Amin KaramiMehdi Karami,2025,https://link.springer.com/article/10.1007/s41060-025-00855-3,Article
Big Data,Handbuch Sozialstrukturanalyse,,,,10.1007/978-3-658-39759-3_25-1,Rainer Diaz-BoneLéonie BisangGuy Schwegler,2024,https://link.springer.com/rwe/10.1007/978-3-658-39759-3_25-1,Living reference work entry
A systematic data characteristic understanding framework towards physical-sensor big data challenges,Journal of Big Data,,,,10.1186/s40537-024-00942-5,Zhipeng MaBo Nørregaard JørgensenZheng Grace Ma,2024,https://link.springer.com/article/10.1186/s40537-024-00942-5,Article
"Data reduction in big data: a survey of methods, challenges and future directions",International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00603-z,Tala Talaei KhoeiAditi Singh,2024,https://link.springer.com/article/10.1007/s41060-024-00603-z,Article
Data integration from traditional to big data: main features and comparisons of ETL approaches,The Journal of Supercomputing,,,,10.1007/s11227-024-06413-1,Afef WalhaFaiza GhozziFaiez Gargouri,2024,https://link.springer.com/article/10.1007/s11227-024-06413-1,Article
