Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Carbon-Aware Energy Cost Optimization of Data Analytics Across Geo-Distributed Data Centers,Journal of Computer Science and Technology,,,,10.1007/s11390-025-4636-4,Yi-Ting ChenLai-Long LuoDe-Ke GuoQian He,2025,https://link.springer.com/article/10.1007/s11390-025-4636-4,Article
Design of a Private Cloud Platform for Distributed Logging Big Data Based on a Unified Learning Model of Physics and Data,Applied Geophysics,,,,10.1007/s11770-025-1187-y,Xi ChengHaicheng FuTursyngazy Mahabbat,2025,https://link.springer.com/article/10.1007/s11770-025-1187-y,Article
A Model of Big Data-Based Governance: China’s National Government Big Data Platform and an Analysis of Its Governance Competence,Chinese Political Science Review,,,,10.1007/s41111-025-00279-1,Xi Lin,2025,https://link.springer.com/article/10.1007/s41111-025-00279-1,Article
Geo Engine: Workflow-driven Geospatial Portals for Data Science,Datenbank-Spektrum,,,,10.1007/s13222-023-00453-2,Christian BeilschmidtJohannes DrönnerMichael MattigBernhard Seeger,2023,https://link.springer.com/article/10.1007/s13222-023-00453-2,Article
Performance-Aware Big Data Management for Remote Sensing Systems,Arabian Journal for Science and Engineering,,,,10.1007/s13369-023-08172-2,Mustafa Kemal PekturkMuhammet UnalHadi Gokcen,2023,https://link.springer.com/article/10.1007/s13369-023-08172-2,Article
More than just Tweets: the potential of alternative geo-social media data for disaster management,Social Network Analysis and Mining,,,,10.1007/s13278-025-01494-z,Nikola VračevićSebastian SchmidtMerve KeskinDavid HannyBernd Resch,2025,https://link.springer.com/article/10.1007/s13278-025-01494-z,Article
Big Data Technology Trends in Transportation Leveraging a Large Language Model-Based System,International Journal of Intelligent Transportation Systems Research,,,,10.1007/s13177-025-00470-3,Hamed Shahrokhi ShahrakiAbbas Babazadeh,2025,https://link.springer.com/article/10.1007/s13177-025-00470-3,Article
Big data and deep learning for RNA biology,Experimental & Molecular Medicine,,,,10.1038/s12276-024-01243-w,Hyeonseo HwangHyeonseong JeonNagyeong YeoDaehyun Baek,2024,https://link.springer.com/article/10.1038/s12276-024-01243-w,Article
Investment in big data analytics and loss reserve accuracy: evidence from the U.S. property-liability insurance industry,The Geneva Papers on Risk and Insurance - Issues and Practice,,,,10.1057/s41288-024-00336-x,Xin Che,2024,https://link.springer.com/article/10.1057/s41288-024-00336-x,Article
Leveraging geo-computational innovations for sustainable disaster management to enhance flood resilience,Discover Geoscience,,,,10.1007/s44288-024-00042-0,Harshita Jain,2024,https://link.springer.com/article/10.1007/s44288-024-00042-0,Article
Machine learning in biomedical and health big data: a comprehensive survey with empirical and experimental insights,Journal of Big Data,,,,10.1186/s40537-025-01108-7,Kamal Taha,2025,https://link.springer.com/article/10.1186/s40537-025-01108-7,Article
"Biological big-data sources, problems of storage, computational issues, and applications: a comprehensive review",Knowledge and Information Systems,,,,10.1007/s10115-023-02049-4,Jyoti Kant ChaudhariShubham PantRicha JhaRajesh Kumar PathakDev Bukhsh Singh,2024,https://link.springer.com/article/10.1007/s10115-023-02049-4,Article
Empowering smart city situational awareness via big mobile data,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2300453,Zhiguang ShanLei ShiBo LiYanqiang ZhangXiatian ZhangWei Chen,2023,https://link.springer.com/article/10.1631/FITEE.2300453,Article
Deep understanding of big geo-social data for autonomous vehicles,Neural Computing and Applications,,,,10.1007/s00521-022-08001-x,Shuo ShangJianbing ShenJi-Rong WenPanos Kalnis,2022,https://link.springer.com/article/10.1007/s00521-022-08001-x,Article
A big data driven multilevel deep learning framework for predicting terrorist attacks,Scientific Reports,,,,10.1038/s41598-025-08201-0,Ume KalsoomaSahar ArshadAmerah AlbarahImran SiddiqiSaeed UllahAbdul MateenFarhan Amin,2025,https://link.springer.com/article/10.1038/s41598-025-08201-0,Article
"Data science, big data, and machine learning are coming of age",Journal of Big Data,,,,10.1186/s40537-025-01172-z,Borko FurhtTaghi Khoshgoftaar,2025,https://link.springer.com/article/10.1186/s40537-025-01172-z,Article
A big data approach to mitigating the MAUP in measuring excess commuting,Computational Urban Science,,,,10.1007/s43762-025-00173-1,Cehong LuoYujie HuFahui Wang,2025,https://link.springer.com/article/10.1007/s43762-025-00173-1,Article
