DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1080/00087041.2024.2323333,,,Evaluating the Geometry of Objects in Cartographic Generalization with Hu's Invariants,"ABSTRACT This paper presents a novel approach to assessing the geometry of objects using Hu's invariants in the context of cartographic generalization. The primary focus is to improve the generalization process and produce more readable and informative maps. The study demonstrates the applicability and effectiveness of the modified invariant moment M1* in evaluating regular shape similarity. Experiments, based on 24 shapes, exhibit greater stability in the results and reveal the high suitability of this moment in the investigation and classification of buildings, among other generalization processes. The efficiency of the proposed method is compared to previous generalization techniques, showing a significant improvement in the generalization process. In conclusion, this research contributes to the development of cartographic generalization methods by introducing the use of Hu's invariants for evaluating object geometry. This approach can improve the automation of map generalization processes and more effective communication of geographic information.","Joanna Bac-Bronowicz,K. Kozioł,Andrzej Kwinta,C. Santos,Kamil Maciuk",The Cartographic Journal,2024
10.16879/jkca.2021.21.2.029,,,Cartographic Generalization of Digital Boundary Files of the Korean Administrative Areal Units: Making Base Maps for Thematic Mapping,"The main objective of this study is to offer properly generalized digital files of Korea administrative boundaries for thematic mapping. In a theoretical concern, the digital generalization model proposed by McMaster and Shea is intensively reviewed, and two major simplification algorithms, the Douglas-Peuker algorithm and the Visvalingam-Whyatt algorithm, are thoroughly compared. As a result, a modified version of the Visvalingam-Whyatt algorithm is selected mainly because it is better in preserving the contiguity property among the original areal units and in performing the smoothing operation while simplifying map features. The generalization framework is applied to the 2020 boundary file of the most detailed administrative areal units in South Korea targeting for 1:4,000,000 and 1:8,000,000 map scales. By comparing the generalized maps created at the 8 different vertex retention rates, it is concluded that the 0.2% retention rate map is suitable for the 1:4,000,000 scale and the 0.05% retention rate map is for the 1:8,000,000 scale. This study is expected to help people avoid the use of the far too detailed raw boundary files and/or the far too scant generalized files, and can be seen as a cornerstone of a broader project to construct a standardized set of administrative boundary files which are designed in compliance with different map scales that people freely use for their needs.","Hyun-Mi Kim,Hyunmi Kim,Lee S,한국교육과정평가원,Sang Il Lee",Journal of the Korean Cartographic Association,2021
,,,Multi-Agents Systems for Cartographic Generalization: Feedback from Past and On-going Research,"Cartographic generalization is a highly local and contextual process where decisions are taken locally to better adjust the transformations used to the local geography. Thus, carto-graphic generalization fits well with the multi-agents paradigm that promotes decentralized and autonomous decision-making. The past years of research in cartographic generalization showed several successful attempts to use multi-agents systems, and this paper provides a feedback on these attempts. We extracted a core modeling of a multi-agents system for generalization and highlighted its main components. Previous propositions of multi-agents generalization processes are described in relation to this core modeling, and feedbacks from experimentations with these processes are discussed to define a research agenda in multi-agents modeling for generalization.","Cécile Duchêne,Guillaume Touya,Cécile Duchêne,Guillaume Touya,Cécile Duchêne,Guillaume Touya,Guillaume Touya,Guillaume Touya,Patrick Taillandier,Patrick Taillandier,Patrick Taillandier,Patrick Taillandier,Julien Gaffuri,Julien Gaffuri,Anne Ruas,Anne Ruas,Anne Ruas,Anne Ruas,Jérémy Renard,Jérémy Renard",,2018
10.3390/ijgi13050154,,,Collaborative Methods of Resolving Road Graphic Conflicts Based on Cartographic Rules and Generalization Operations,"The resolution of road graphic conflicts is a key aspect of map generalization, which involves both scale reduction and the symbolization of map features. This study proposes collaborative methods of road graphic conflict resolution considering different road characteristics. These methods consider both geometric and semantic characteristics, and they incorporate the bend characteristics of roads, the road symbol size, and road semantics. Constrained Delaunay triangulation skeleton lines are used to categorize road graphic conflicts, which are made up of four independent conflict types and four group conflict types. Based on their characteristics, three collaborative methods are designed to deal with the different types of road graphic conflicts: collaboration between deletion and the snake displacement model, collaboration between the snake displacement model and collinearity, and collaboration among simplification, smoothing, and the beam displacement model. Two types of independent conflicts can be processed using only one simple operation. This study summarizes the cartographic rules for resolving road graphic conflicts, and these are used along with geometric features to drive the collaborative methods or one simple operation presented here. The experimental results indicate that the method proposed in this study can effectively resolve road graphic conflicts.","Chuanbang Zheng,Q. Guo,Lin Wang,Yuangang Liu,Jianfeng Jiang",ISPRS Int. J. Geo Inf.,2024
10.33920/sel-04-2212-07,,,The features of cartographic generalization using GIS,The article analyzed the means and operations of classical and GIS generalization of cartographic information and underlined their fundamental differences and possibilities.,"P. P. Lebedev,P. P. Lebedev","Zemleustrojstvo, kadastr i monitoring zemel' (Land management, cadastre and land monitoring)",2022
10.5220/0009396501910198,,,Analysis of Cartographic Generalization based on PYTHON Programming Language on Digital Topographic Maps.,"Cartographic generalization is a creative process of abstraction, which is used in the design and content preparation of topographic maps. It includes the study of the geographic environment, processing of geographic data, and an evaluation with regard to type, purpose, and scale of the map, or selecting and merging their graphical presentation, with a big or small degree of abstraction. In the era of digital cartography more attention is paid to developing tools for automatic generalization of cartographic content. In this paper, automatic cartographic generalization is analyzed based on PYTHON programming language for production of digital topographic map scale 1:50 000 (DTM50) from digital topographic map scale 1:25","Marko Stojanović,Marko Stojanović,Siniša Drobnjak,Siniša Drobnjak,Siniša Drobnjak,Jovica Jovanović,J.V. Jovanović,Jasmina M. Jovanovic,Nenad Galjak,Nenad Galjak,Ana Vucicevic,Ana Vučićević","International Conference on Geographical Information Systems Theory, Applications and Management",2020
10.1515/pcr-2017-0001,,,Cartographic generalization yesterday and today,"Abstract The author presents evolution of views on cartographic generalization since it was defined by Emil von Sydow (1866) until today. It is divided into three chapters which present the evolution of views on cartographic generalization, models of generalization and digital generalization, respectively. Views on the topic of generalization evolved in the direction of broadening the term itself and towards a different perception of its nature. Originally generalization was understood as a process which can be performed on maps only. Now the prevailing understanding is that it begins earlier, at the conceptual stage of map making. Determination of the method of contents’ presentation is an indication of such generalization. The character of generalization is another important aspect of the discussion on its nature. The notion of a subjective nature of generalization, expressed, among others, by Max Eckert (1921), was originally predominant. Later there also appeared different opinions, allowing its objectivization (K.A. Saliszczew 1998). This direction helped to result in automation of the process of generalization of map contents. Currently a dualism in perceiving generalization can be observed, with a strong bias towards its objective aspect. In a separate chapter the author discusses conceptual models of generalization proposed by: L. Ratajski (1967, 1973), J. Morrison (1974), B.G. Nickerson (1988), K.E. Brassel and R. Weibel (1988), as well as R.B. McMaster and K.S. Shea (1992). They are divided into the universal models of theoretical character and those constructed for the purpose of computer automation of the process. Attempts at digital generalization which currently develop in the context of generalization of general, and especially topographic maps, are discussed separately. Most important algorithms concerning generalization of linear objects are presented chronologically, concluding with a description of comprehensive generalization systems. The summary presents two main conclusions. Firstly – work on generalization will continue to consider the geographical context during the process. Secondly – generalization of thematic, and especially statistical maps is the prospective direction.","Paweł Cebrykow,Paweł Cebrykow",Polish Cartographical Review,2017
10.48550/arxiv.2204.12645,,,Circular cartograms via the elastic beam algorithm originated from cartographic generalization,,"Zhiwei Wei,Dingjie Su,Wenjia Xu,Cheng Lu,Zhang Song,Wang Yang",arXiv.org,2022
10.1109/access.2019.2961622,,,Combined Matching Approach of Road Networks Under Different Scales Considering Constraints of Cartographic Generalization,"Identifying corresponding objects from geospatial databases at different levels of detail is crucial, especially in multi-scale road network matching, which is the prerequisite of data conflation, updating and quality assessment. `Stroke' has a considerable effect on automatic road network generalization, and is essential in the road network matching process. In road network generalization, topological relationships may change, and some roads may be deleted. In this paper, we propose a combined stroke-based matching approach of road networks considering the constraints of cartographic generalization for road networks under different scales. In the entire stroke matching, we utilize the modified Hausdorff distance for geometric similarity. We consider the topological differences in the structural similarity calculation and propose a new weight calculation method. Partial stroke matching can further identify the corresponding roads with changes and updates in different scales. We also propose a method of roundabout detection and matching. The proposed approach could not only match road networks with a small scale difference, but also road networks with a large scale difference. And it can successfully identify the M:N, M:1, 1:1, 1/M:1/N, and 1/M:1 matching relationships. The effectiveness of the proposed approach is verified by experimental results.","Guo Qingsheng,Qingsheng Guo,Xinglin Xu,Xinglin Xu,Xinglin Xu,Yong Wang,Yong Wang,Jiping Liu,Jiping Liu,Jiping Liu",IEEE Access,2020
10.1007/springerreference_61772,,,Cartographic Generalization,"This short paper gives a subjective view on cartographic generalization, its achievements in the past, and the challenges it faces in the future.",Monika Sester,J. Spatial Inf. Sci.,
10.1007/978-981-16-0614-4_5,,,Cartographic Generalization,"Cartographic generalization has always been one of the most challenging and creative fields in cartography. Automated generalization of spatial data under a digital environment is still one of the core issues that modern cartography faces. First, the automated cartographic generalization method must be used when producing smaller scale maps by means of large-scale digital map data; second, the automatic cartographic generalization method is the most effective way to solve the automatic derivation of a multiscale spatial database based on a large-scale basic spatial database and the integrated updating of a multiscale spatial database; third, to meet the requirements of the multiscale expression of geographic information system data, the automatic generalization method must be adopted and should be online; and fourth, in the construction of a spatial data warehouse, the automatic generalization method should be used to extract the required spatial data from heterogeneous databases in different places and departments according to the user theme (problem solving). It is because of the importance of the automatic generalization of spatial data that international academia has given full attention to research in this field for a long time, especially in the past 10 years, and a large number of valuable theoretical and technological achievements have been obtained. However, because of the complexity in the automatic generalization of spatial data, there is a certain gap between the present study results and a global solution to the problem, which is a practical application. This gap is not only because of the technical realization but also because of the ideological conception.","Fang Wu,Fang Wu,Jiayao Wang,Jiayao Wang",Advances in Cartography and Geographic Information Engineering,2021
10.1109/bgc-geomatics.2018.00028,,,Cartographic Generalization of the River Network Including Standards of the Objects Recognition,"Digital cartographic generalization is one of the basic issues currently implemented by the National Map Agencies. The commonly used generalization methods are based on procedures for processing spatial databases where the DLM and/or the DCM are stored. The authors have proposed new solutions for large-and small-scale maps generalization on the example of river network objects. The first stage of process takes into account the hierarchy of watercourses resulting from the Map of Hydrographic Division of Poland (MPHP). The condition of entire watercourse recognition is checked iteratively considering the changing topology. In the second stage, scaledriven generalization (simplification) is carried out, taking into account the width of the symbol. Data used in the article are: General Geographic Database (BDOO) (reference scale 1:250k) and MPHP database (reference scale 1:50k). The obtained results were compared with the BDOO as well as visually in relation to other maps.","Stanisław Szombara,Stanisław Szombara,Michał Lupa,Michał Lupa",2018 Baltic Geodetic Congress (BGC Geomatics),2018
