ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S2310-34692025000100007-cub","Estructura, diversidad florística y almacenamiento de carbono en la biomasa aérea de un bosque siempreverde piemontano en la Cordillera del Cóndor-Kutukú","Alvarado-Sarango, Bertha, Ureta-Leones, Diego, Veintinilla-Ramos, Darío, Jaramillo-Díaz, Nelson","Revista Cubana de Ciencias Forestales; 13(1); -","Revista Cubana de Ciencias Forestales","Espanhol","2025","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2310-34692025000100007&lang=pt" 
"S2236-89062025000101001-scl","Manguezais na Ilha do Cardoso, Cananéia, Estado de São Paulo, Brasil: uma narrativa histórica","Schaeffer-Novelli, Yara, Coelho-Jr, Clemente, de Almeida, Renato, Menezes, Gisela Vianna, Menghini, Ricardo Palamar, Cunha-Lignon, Marília, Rovai, André Scarlate, Reis-Neto, Armando Soares dos, Cintrón-Molero, Gilberto","Hoehnea; 52(); -","Hoehnea","Português","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-89062025000101001&lang=pt" 
"S1415-43662024000100204-scl","Fertility and carbon stock in pasture and forest environments in the Southern Amazon","Silva, Fernando L., Silva, Marcus H. M. e, S. Oliveira-Júnior, Ernandes, López-Alonso, Marta, Pierangeli, Maria A. P.","Revista Brasileira de Engenharia Agrícola e Ambiental; 28(1); -","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662024000100204&lang=pt" 
"S0100-67622024000100226-scl","MODELING ABOVEGROUND CARBON STOCK UNDER THE FOREST CANOPY INFLUENCE","Gomide, Lucas Rezende, Páscoa, Kalill José Viana da, Silva, Caio Eduardo Vieira Alcantara, Miranda, Evandro Nunes, Carvalho, Mônica Canaan, Scolforo, José Roberto Soares, Mello, Carlos Rogerio de","Revista Árvore; 48(); -","Revista Árvore","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622024000100226&lang=pt" 
"S0100-67622024000100224-scl","LONG-TERM ASSESSMENT OF FIRE-INDUCED CARBON LOSS IN SOUTHEAST ATLANTIC FOREST","Baião, Cheila Flávia de Praga, Massi, Klécia Gilli, Sousa Junior, Wilson Cabral de","Revista Árvore; 48(); -","Revista Árvore","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622024000100224&lang=pt" 
"S0103-63512024000100204-scl","O desenvolvimento financeiro afeta a degradação ambiental? Evidências para o Brasil no período 1978-2020","Santos, Luiz Henrique Bispo, Andrade, Daniel Caixeta","Nova Economia; 34(1); -","Nova Economia","Português","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512024000100204&lang=pt" 
"S1809-68912024000100900-scl","Land use change and greenhouse gas emissions: an explanation about the main emission drivers","Abreu, Natan Lima, Ribeiro, Eleanatan Syanne da Cruz, Sousa, Camila Eduarda Souza de, Moraes, Lorena Maués, Oliveira, João Victor Costa de, Faria, Letícia de Abreu, Ruggieri, Ana Cláudia, Cardoso, Abmael da Silva, Faturi, Cristian, Rêgo, Aníbal Coutinho do, Silva, Thiago Carvalho da","Ciência Animal Brasileira; 25(); -","Ciência Animal Brasileira","Inglês, Português","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912024000100900&lang=pt" 
"S1980-993X2024000100326-scl","Effect of soil management on carbon stock and soil aggregation in an area of natural regeneration and surrounding systems in the Atlantic Forest biome","Alcântara, Laiza Coelho de, Rosset, Jean Sérgio, Neves, Isabela, Ozório, Jefferson Matheus Barros, Panachuki, Elói, Santos, Wesley Vieira dos, Castilho, Selene Cristina de Pierri, Schiavo, Jolimar Antonio, Farias, Paulo Guilherme da Silva, Souza, Camila Beatriz da Silva, Marra, Leandro Marciano","Revista Ambiente &amp; Água; 19(); -","Revista Ambiente &amp; Água","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2024000100326&lang=pt" 
"S1519-69842024000100360-scl","Yield, carbon stock, and price dynamics of agroforestry tree species in district Mardan, Khyber Pakhtunkhwa, Pakistan","Usman, N., Hussain, M., Akram, S., Majeed, M., Shah, S., Rehman, F., Yousaf, A., Shaukat, S., Shah, S. W. A., Mishr, R. S., Shrestha, S., Saddiqa, A., Room, S. A., Ali, A.","Brazilian Journal of Biology; 84(); -","Brazilian Journal of Biology","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842024000100360&lang=pt" 
"S1519-69842024000100209-scl","Variations in soil physico-chemical properties, soil stocks, and soil stoichiometry under different soil layers, the major forest region Liupan Mountains of Northwest China","Rahman, M., Zhang, K., Wang, Y., Ahmad, B., Ahmad, A., Zhang, Z., Khan, D., Muhammad, D., Ali, A.","Brazilian Journal of Biology; 84(); -","Brazilian Journal of Biology","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842024000100209&lang=pt" 
"S1519-69842024000100141-scl","Assessment of land use cover changes, carbon sequestration and carbon stock in dry temperate forests of Chilas watershed, Gilgit-Baltistan","Raqeeb, A., Saleem, A., Ansari, L., Nazami, S. M., Muhammad, M. W., Malik, M., Naqash, M., Khalid, F.","Brazilian Journal of Biology; 84(); -","Brazilian Journal of Biology","Inglês","2024","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842024000100141&lang=pt" 
