DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,,,Aplicación de un algoritmo de generalización cartográfica basado en polígonos de Voronoi y su combinación con una metodología de alta precisión (GPS) en Biogeografía,,"Benito Zaragozí Zaragozí,Benito Zaragozí Zaragozí,Benito Manuel Zaragozí Zaragozí,Pablo Giménez Font,Pablo Giménez Font,Pablo Giménez-Font,Pablo Giménez Font,J.T. Navarro,J.T. Navarro,A. Ramón,A. Ramón,Amílkar Mora Sánchez,A. Sánchez,Antoni Sánchez,Ana Sánchez,M.A. Padilla,M.A. Padilla,J.A. Marco,J.A. Marco",,2010
,,,Concepción para el diseño de la metodología para la creación de la base digital a escal 1:00 000 de La República de Cuba empleando técnicas de generalización cartográfica semiautomatizadas,,"María Antonia García Cisneros,María Antonia García Cisneros,Iliana A. Martínez,Iliana Alonso Martínez,Alina del Río Marceau,Alina del Río Marceau",,2005
,,,Utilidad de las herramientas SIG en procesos de generalización cartográfica: generalización automatizada de puntos de cota,,"Jesús Palomar Vázquez,Jesús Palomar Vázquez,Juan José Montero Pascual,Josep E. Pardo Pascual",,2000
,,,Generalización de cascos urbanos en modelo Raster,"Tesis Univ. Jaen. Departamento de Ingenieria Cartografica, Geodesica y Fotogrametria. Leida el 23 de septiembre de 2004","Manuel-Antonio Ureña-Cámara,Manuel-Antonio Ureña-Cámara",,2013
,,,Estado del arte de algoritmos de generalización vectorial de núcleos urbanos,"Se presenta este articulo con el animo de enumerar y estudiar diferentes algoritmos que tratan la generalizacion de datos cartograficos vectoriales de zonas urbanas, debido a que en ellas se concentran la mayoria de los conflictos que se pueden encontrar en los procesos de generalizacion cartografica. A pesar de que la generalizacion es uno de los procedimientos mas dificiles de automatizar, existen herramientas que implementan estos algoritmos y ofrecen resultados satisfactorios, aunque ninguna de ellas es capaz de automatizar por completo el proceso de generalizacion. A continuacion, se incluyen las pruebas realizadas al respecto, describiendo y analizando los resultados obtenidos, estableciendo una comparativa con trabajos realizados por diferentes autores. Se concluye el documento valorando los posibles trabajos futuros para solventar la problematica de la generalizacion cartografica. Este estudio se encuentra en el marco del proyecto CENIT Espana Virtual.","José Juan Arranz Justel,José Juan Arranz Justel,Andrés Novoa Plasensia,Andrés Novoa Plasensia,David Sánchez Tamargo,David Sánchez Tamargo",,2011
10.35424/rcarto.i90.483,,,Métodos de estimación de la exactitud posicional a través de elementos lineales,"Currently exists several developed and in process of development methods that aim to check the positional accuracy in cartography. The most extended are based in punctual features (NMAS EMAS ASPRS or NSSDA) but exists methods based on lineal elements and even on surface elements. As a result of some recent researches, this article details the most extended methods to check the positional accuracy with lineal elements. It also indicates what would be future investigation guidelines to follow on this matter. For this task, some application cases in several cartographic specialties such as coastal cartography, cadaster, roads or simply the error made by applying various generalization processes to lineal features will be analyzed. With exception of the latter, the other specialties require to get extra data from a more reliable source. Data gathering process is also analyzed because it is the greatest constraint for the application of the aforementioned methods. The advancement of new technologies as well as the geographic databases characteristics, in which usua- lly are stored lineal features, make these methods a way to check the positional accuracy to consider in the future and that will be able to compete whit the already standardized punctual element based methods.","Izar Sinde González,Izar Sinde González,Izar Sinde González",Revista Cartográfica,2014
,,,MODELACIÓN DEL PROCESO LLUVIA ESCORRENTÍA USANDO SISTEMAS DE INFORMACIÓN GEOGRÁFICA,,"Enver Alvarado Rodríguez,Enver Alvarado Rodríguez",,2012
,,,Metodología para el filtrado frecuencial de elementos lineales mediante Wavelet,"La generalizacion cartografica es uno de los grandes problemas por resolver en el mundo de la cartografia digital y de los Sistemas de Informacion Geografica. Hasta nuestros dias, las labores de generalizacion automatizada de elementos lineales se han limitado casi exclusivemente a algoritmos de simplificacion, con el unico objetivo de reducir el numero de coordenadas a almacenar. Ante esto, la utilizacion de tecnicas en el dominio de la frecuencia abre nuevas vias de investigacion con posibilidades aun por descubrir. El empleo del filtrado mediante wavelets ha mostrado una clara predisposicion para extraer la tendencia general de una linea, esencial para reducciones drasticas de escala, asi como para efectuar clasificaciones o segmentaciones en funcion de la heterogeneidad y sinuosidad de los elementos.","José Luis García Balboa,José Luis García Balboa,Francisco Javier Ariaza López,Francisco Javier Ariaza López",,1999
10.62876/rm.v1i32.6973,,,Una lectura caribeña del Atlas de la historia cartográfica de Venezuela,"Este trabajo se propone una lectura caribeña del Atlas de labistoria cartográfica de Venezuela de Hermann GonzálezOropeza, en un carácter de relato de la cartografía del país ycomo intento de reapropiación de una historia perdidadurante el siglo XIX.",Lulú Giménez Saldivia,Revista Montalbán,2024
10.30827/pna.v17i3.24153,,,Mediaciones realizadas a estudiantes de segundo de primaria en una tarea de generalización,"El estudio se desarrolla en el ámbito del pensamiento algebraico en educación primaria. Trabajamos con seis estudiantes de segundo de educación primaria (7-8 años) una tarea de generalización durante entrevistas semiestructuradas individuales. Nos centramos en las mediaciones del investigador-docente que guio dichas entrevistas. Se pretende describir la generalización de los estudiantes antes y después de las mediaciones realizadas. Los resultados destacan que, al finalizar las entrevistas, los seis estudiantes generalizaron algunos de forma correcta y otros de forma incompleta. Identificamos que las mediaciones tuvieron un rol fundamental para la identificación de la regularidad de la tarea planteada, permitiéndoles corregir errores y justificar.","Romina Narváez,María C. Cañadas",PNA. Revista de Investigación en Didáctica de la Matemática,2023
