Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Study on carbon emission calculation method and carbon reduction indexes of urban building stock,Science China Technological Sciences,,,,10.1007/s11431-023-2670-9,Liu YangNan ZhangMei LuZhiXing LuoMei Dou,2024,https://link.springer.com/article/10.1007/s11431-023-2670-9,Article
Nonuniform organic carbon stock loss in soils across disturbed blue carbon ecosystems,Nature Communications,,,,10.1038/s41467-025-59752-9,Chuancheng FuShannon G. KleinJessica BreavingtonKah Kheng LimAlexandra SteckbauerCarlos M. Duarte,2025,https://link.springer.com/article/10.1038/s41467-025-59752-9,Article
Global seagrass carbon stock variability and emissions from seagrass loss,Nature Communications,,,,10.1038/s41467-025-59204-4,Johannes R. KrauseClint CameronAriane Arias-OrtizMiguel Cifuentes-JaraSteve CrooksMartin DahlDaniel A. FriessHilary KennedyKiah Eng LimCatherine E. LovelockNúria MarbàKaren J. McGlatheryMatthew P. J. OreskaEmily PidgeonOscar SerranoMathew A. VanderkliftLynn-Wei WongSiti Maryam YaakubJames W. Fourqurean,2025,https://link.springer.com/article/10.1038/s41467-025-59204-4,Article
Decadal Variation of Soil Organic Carbon Stock in the Mangrove-Dominated Indian Sundarbans,Eurasian Soil Science,,,,10.1134/S1064229324602051,R. GhoshA. Mitra,2025,https://link.springer.com/article/10.1134/S1064229324602051,Article
A field-measured dataset for soil organic carbon stock in South Korean grasslands,Scientific Data,,,,10.1038/s41597-025-05002-y,You Jin KimYe Lim ParkJun Ge HyunInhye SeoMinseop JeongYejee OkJeehwan BaeJeong Sung JungGayoung Yoo,2025,https://link.springer.com/article/10.1038/s41597-025-05002-y,Article
Accuracy and consistency of the machine learning models for predicting carbon stock in different carbon pools using satellite-based predictor variables,Earth Science Informatics,,,,10.1007/s12145-025-01744-w,Dipankar BeraNilanjana Das ChatterjeeVivek DhimanSubrata GhoshSantanu Dinda,2025,https://link.springer.com/article/10.1007/s12145-025-01744-w,Article
Biotic Predictors of Carbon Stock Variation in Light-Textured Forest Soils,Biology Bulletin,,,,10.1134/S1062359024613211,A. I. KuznetsovaN. V. LukinaV. E. SmirnovE. V. BasovaO. N. BahmetA. V. GornovA. P. Geras’kinaE. V. RuchinskayaE. A. GavrilyukM. A. DanilovaD. N. Teben’kova,2024,https://link.springer.com/article/10.1134/S1062359024613211,Article
Asymmetric effects of carbon pricing on european sector stock returns: a short-term analysis,Environment Systems and Decisions,,,,10.1007/s10669-025-10028-z,Rim OueghlissiAhmed Derbali,2025,https://link.springer.com/article/10.1007/s10669-025-10028-z,Article
Assessment of the Effect of Environmental Factors on Carbon Stock in Forest Soils of Bryansk Polesie,Eurasian Soil Science,,,,10.1134/S1064229324603081,A. I. KuznetsovaE. A. GavrilyukA. V. GornovA. P. GeraskinaE. V. RuchinskayaA. D. Nikitina,2025,https://link.springer.com/article/10.1134/S1064229324603081,Article
American alligators (<i>Alligator mississippiensis</i>) as wetland ecosystem carbon stock regulators,Scientific Reports,,,,10.1038/s41598-025-87369-x,Christopher M. MurrayTyler Steven ColemanWray GabelKen W. Krauss,2025,https://link.springer.com/article/10.1038/s41598-025-87369-x,Article
Multi-angle study on carbon stock variation and its driving factors in Pingshan County,Scientific Reports,,,,10.1038/s41598-025-91610-y,Miao ZhangAihong ZhouSiyuan CaoYing YuanNingbo Han,2025,https://link.springer.com/article/10.1038/s41598-025-91610-y,Article
Impact of Anthropogenic Activities and Climate Change on Carbon Stock in a West-African Mangrove,Wetlands,,,,10.1007/s13157-025-01932-w,Babatondé Innocent KochoniKolawolé Valère SalakoKangbéni DimobeGafarou AgoundeMahoutin G. Serge ZanvoJones Abrefa DanquahRomain Glèlè Kakaï,2025,https://link.springer.com/article/10.1007/s13157-025-01932-w,Article
Estimating carbon stock using vegetation indices and empirical data in the upper awash river basin,Discover Environment,,,,10.1007/s44274-024-00165-8,Fekadu LegesseSileshi DegefaTeshome Soromessa,2024,https://link.springer.com/article/10.1007/s44274-024-00165-8,Article
Carbon stock increase during post-agricultural succession in central France: no change of the superficial soil stock and high variability within forest stages,New Forests,,,,10.1007/s11056-024-10044-y,Magali WeissgerberLaine ChanteloupAnne Bonis,2024,https://link.springer.com/article/10.1007/s11056-024-10044-y,Article
The spillover effect between carbon market and stock markets: evidence from China,"Environment, Development and Sustainability",,,,10.1007/s10668-024-04986-8,Xian GaoChunli WangWanchen WangXiping Wang,2024,https://link.springer.com/article/10.1007/s10668-024-04986-8,Article
Prediction and mapping of soil organic carbon stock via large datasets coupled with pedotransfer functions,Earth Science Informatics,,,,10.1007/s12145-025-01822-z,Subramanian DharumarajanKabindra AdhikariRanabir ChakrabortyBeeman KalaiselviRamakrishnappa VasundharaManickam LalithaRajendra HegdeHittangi PrakashSreekumar ParvathyC. G. KusumaAyyappa SathishN. L. RajeshPraveenkumar NaikodiK. T. GurumurthyP. L. PatilVenkataramanappa Ramamurthy,2025,https://link.springer.com/article/10.1007/s12145-025-01822-z,Article
"Evaluating carbon stock in Gantamie Natural Forest, Bure Zuria district, north-western Ethiopia: a climate change mitigation approach",Discover Environment,,,,10.1007/s44274-025-00219-5,Getasew FissehaBinega DerebeAdamsew Marelign MeleseKiros Getachew,2025,https://link.springer.com/article/10.1007/s44274-025-00219-5,Article
Spatiotemporal dynamics and influencing factors of land carbon stock in Chengdu Plain using an integrated model,Scientific Reports,,,,10.1038/s41598-025-95756-7,Jie TangWenfu Peng,2025,https://link.springer.com/article/10.1038/s41598-025-95756-7,Article
